===2023-06-01 10:00:50===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-White_Female             | Train Loss: 2.0806 | Train Acc: 0.2222
 Site-White_Male               | Train Loss: 2.1221 | Train Acc: 0.2000
 Site-White_Female             | Train Loss: 2.0479 | Train Acc: 0.3621
 Site-White_Male               | Train Loss: 2.1353 | Train Acc: 0.2414
 Site-White_Female             | Train Loss: 2.0743 | Train Acc: 0.2835
 Site-White_Male               | Train Loss: 2.1090 | Train Acc: 0.2713
 Site-White_Female             | Train Loss: 2.0763 | Train Acc: 0.2754
 Site-White_Male               | Train Loss: 2.1122 | Train Acc: 0.2389
 Site-White_Female             | Train Loss: 2.0683 | Train Acc: 0.2941
 Site-Latino_Hispanic_Male     | Train Loss: 2.0699 | Train Acc: 0.2619
 Site-Latino_Hispanic_Female   | Train Loss: 2.0939 | Train Acc: 0.3115
 Site-Latino_Hispanic_Male     | Train Loss: 2.1044 | Train Acc: 0.1429
 Site-Latino_Hispanic_Female   | Train Loss: 2.0842 | Train Acc: 0.2463
 Site-Latino_Hispanic_Male     | Train Loss: 2.0665 | Train Acc: 0.2030
 Site-Latino_Hispanic_Female   | Train Loss: 2.0879 | Train Acc: 0.2621
 Site-Latino_Hispanic_Male     | Train Loss: 2.1050 | Train Acc: 0.2297
 Site-Black_Female             | Train Loss: 2.1513 | Train Acc: 0.2836
 Site-Black_Male               | Train Loss: 2.1276 | Train Acc: 0.2424
 Site-Black_Female             | Train Loss: 2.1021 | Train Acc: 0.2877
 Site-Black_Male               | Train Loss: 2.1178 | Train Acc: 0.2093
 Site-Black_Female             | Train Loss: 2.1001 | Train Acc: 0.2785
 Site-East_Asian_Male          | Train Loss: 2.0829 | Train Acc: 0.2823
 Site-East_Asian_Female        | Train Loss: 2.0595 | Train Acc: 0.3681
