===2023-06-16 12:57:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Site-Middle_Eastern-0              | Val  Loss: 1.7484 | Val  Acc: 0.3333
 Site-Middle_Eastern-1              | Val  Loss: 1.6630 | Val  Acc: 0.4082
 Site-Black_utk-0                   | Val  Loss: 1.7313 | Val  Acc: 0.3947
Average Valid Accuracy: 0.3574
 Best site-White-0                   | Epoch:5 | Val Acc: 0.3333
 Best site-White-1                   | Epoch:5 | Val Acc: 0.2000
 Best site-White-2                   | Epoch:5 | Val Acc: 0.5000
 Best site-White-3                   | Epoch:5 | Val Acc: 0.3333
 Best site-White-4                   | Epoch:5 | Val Acc: 0.5556
 Best site-White-5                   | Epoch:5 | Val Acc: 0.3077
 Best site-White-6                   | Epoch:5 | Val Acc: 0.2821
 Best site-White-7                   | Epoch:5 | Val Acc: 0.3793
 Best site-White-8                   | Epoch:5 | Val Acc: 0.4588
 Best site-White-9                   | Epoch:5 | Val Acc: 0.3680
 Best site-Indian-0                  | Epoch:5 | Val Acc: 0.2500
 Best site-Indian-1                  | Epoch:5 | Val Acc: 0.2500
 Best site-Indian-2                  | Epoch:5 | Val Acc: 0.3333
 Best site-Indian-3                  | Epoch:5 | Val Acc: 0.3704
 Best site-Indian-4                  | Epoch:5 | Val Acc: 0.3750
 Best site-Middle_Eastern-0          | Epoch:5 | Val Acc: 0.3333
 Best site-Middle_Eastern-1          | Epoch:5 | Val Acc: 0.4082
 Best site-Black_utk-0               | Epoch:5 | Val Acc: 0.3947
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/CoCoOP...
============ Train epoch 6 ============
 Site-White-0                       | Train Loss: 1.6761 | Train Acc: 0.4074
 Site-White-1                       | Train Loss: 1.4981 | Train Acc: 0.4615
