===2023-08-04 09:25:53===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Val  Loss: 2.9223 | Val  Acc: 0.8482
 Site-webcam                        | Val  Loss: 3.0808 | Val  Acc: 0.6875
 Site-webcam                        | Val  Loss: 3.0140 | Val  Acc: 0.7917
 Site-webcam                        | Val  Loss: 2.9974 | Val  Acc: 0.8919
 Site-webcam                        | Val  Loss: 3.0152 | Val  Acc: 0.8182
 Site-webcam                        | Val  Loss: 2.9764 | Val  Acc: 0.8415
 Site-dslr                          | Val  Loss: 2.9860 | Val  Acc: 0.8182
 Site-dslr                          | Val  Loss: 3.0149 | Val  Acc: 0.7727
 Site-synthetic                     | Val  Loss: 3.2004 | Val  Acc: 0.2826
Average Valid Accuracy: 0.8016
 Best site-amazon                    | Epoch:4 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8333
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8065
 Best site-amazon                    | Epoch:4 | Val Acc: 0.7561
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9057
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8529
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8523
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8246
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8446
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8482
 Best site-webcam                    | Epoch:4 | Val Acc: 0.6875
 Best site-webcam                    | Epoch:4 | Val Acc: 0.7917
 Best site-webcam                    | Epoch:4 | Val Acc: 0.8919
 Best site-webcam                    | Epoch:4 | Val Acc: 0.8182
 Best site-webcam                    | Epoch:4 | Val Acc: 0.8415
 Best site-dslr                      | Epoch:4 | Val Acc: 0.8182
 Best site-dslr                      | Epoch:4 | Val Acc: 0.7727
 Best site-synthetic                 | Epoch:4 | Val Acc: 0.2826
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedmix...
============ Train epoch 5 ============
 Site-amazon                        | Train Loss: 2.8832 | Train Acc: 0.8929
 Site-amazon                        | Train Loss: 2.8351 | Train Acc: 0.9189
 Site-amazon                        | Train Loss: 2.8209 | Train Acc: 0.9149
 Site-amazon                        | Train Loss: 2.8371 | Train Acc: 0.8361
 Site-amazon                        | Train Loss: 2.8110 | Train Acc: 0.8734
 Site-amazon                        | Train Loss: 2.8357 | Train Acc: 0.8350
 Site-amazon                        | Train Loss: 2.8811 | Train Acc: 0.8571
 Site-amazon                        | Train Loss: 2.8311 | Train Acc: 0.8605
 Site-amazon                        | Train Loss: 2.8313 | Train Acc: 0.8739
 Site-amazon                        | Train Loss: 2.8466 | Train Acc: 0.8850
 Site-webcam                        | Train Loss: 2.9598 | Train Acc: 0.7083
 Site-webcam                        | Train Loss: 2.9332 | Train Acc: 0.7297
 Site-webcam                        | Train Loss: 2.8896 | Train Acc: 0.8182
 Site-webcam                        | Train Loss: 2.8746 | Train Acc: 0.8434
 Site-webcam                        | Train Loss: 2.9254 | Train Acc: 0.7823
 Site-dslr                          | Train Loss: 2.9786 | Train Acc: 0.8400
 Site-dslr                          | Train Loss: 2.8931 | Train Acc: 0.8100
 Site-synthetic                     | Train Loss: 3.1012 | Train Acc: 0.3333
Average Train Accuracy: 0.8118
 Site-amazon                        | Val  Loss: 2.7567 | Val  Acc: 0.8947
 Site-amazon                        | Val  Loss: 2.7871 | Val  Acc: 0.8750
 Site-amazon                        | Val  Loss: 2.8523 | Val  Acc: 0.7419
 Site-amazon                        | Val  Loss: 2.8798 | Val  Acc: 0.7805
 Site-amazon                        | Val  Loss: 2.8528 | Val  Acc: 0.9245
 Site-amazon                        | Val  Loss: 2.7845 | Val  Acc: 0.9265
 Site-amazon                        | Val  Loss: 2.8273 | Val  Acc: 0.8523
 Site-amazon                        | Val  Loss: 2.8568 | Val  Acc: 0.8246
 Site-amazon                        | Val  Loss: 2.8473 | Val  Acc: 0.8108
 Site-amazon                        | Val  Loss: 2.8350 | Val  Acc: 0.8482
 Site-webcam                        | Val  Loss: 3.0037 | Val  Acc: 0.6250
 Site-webcam                        | Val  Loss: 2.9332 | Val  Acc: 0.8333
 Site-webcam                        | Val  Loss: 2.9162 | Val  Acc: 0.8378
 Site-webcam                        | Val  Loss: 2.9262 | Val  Acc: 0.7818
 Site-webcam                        | Val  Loss: 2.8840 | Val  Acc: 0.8659
 Site-dslr                          | Val  Loss: 2.9108 | Val  Acc: 0.8182
 Site-dslr                          | Val  Loss: 2.9319 | Val  Acc: 0.8182
 Site-synthetic                     | Val  Loss: 3.1460 | Val  Acc: 0.3478
Average Valid Accuracy: 0.8004
============ Train epoch 6 ============
 Site-amazon                        | Train Loss: 2.7877 | Train Acc: 0.8571
 Site-amazon                        | Train Loss: 2.7154 | Train Acc: 0.9730
 Site-amazon                        | Train Loss: 2.7164 | Train Acc: 0.9362
 Site-amazon                        | Train Loss: 2.7347 | Train Acc: 0.8852
 Site-amazon                        | Train Loss: 2.7502 | Train Acc: 0.8354
 Site-amazon                        | Train Loss: 2.7317 | Train Acc: 0.8932
 Site-amazon                        | Train Loss: 2.7475 | Train Acc: 0.8571
 Site-amazon                        | Train Loss: 2.7328 | Train Acc: 0.8895
 Site-amazon                        | Train Loss: 2.7299 | Train Acc: 0.8649
 Site-amazon                        | Train Loss: 2.7450 | Train Acc: 0.8606
 Site-webcam                        | Train Loss: 2.8693 | Train Acc: 0.7917
 Site-webcam                        | Train Loss: 2.8736 | Train Acc: 0.7297
 Site-webcam                        | Train Loss: 2.7752 | Train Acc: 0.8182
 Site-webcam                        | Train Loss: 2.7506 | Train Acc: 0.9036
 Site-webcam                        | Train Loss: 2.8489 | Train Acc: 0.8065
 Site-dslr                          | Train Loss: 2.9082 | Train Acc: 0.8400
 Site-dslr                          | Train Loss: 2.8243 | Train Acc: 0.8300
 Site-synthetic                     | Train Loss: 3.1117 | Train Acc: 0.3623
Average Train Accuracy: 0.8297
 Site-amazon                        | Val  Loss: 2.6653 | Val  Acc: 0.9474
 Site-amazon                        | Val  Loss: 2.6918 | Val  Acc: 0.8333
 Site-amazon                        | Val  Loss: 2.7730 | Val  Acc: 0.8065
 Site-amazon                        | Val  Loss: 2.7958 | Val  Acc: 0.7805
 Site-amazon                        | Val  Loss: 2.7430 | Val  Acc: 0.9245
 Site-amazon                        | Val  Loss: 2.6694 | Val  Acc: 0.9265
 Site-amazon                        | Val  Loss: 2.7407 | Val  Acc: 0.8636
 Site-amazon                        | Val  Loss: 2.7540 | Val  Acc: 0.7982
 Site-amazon                        | Val  Loss: 2.7379 | Val  Acc: 0.8514
 Site-amazon                        | Val  Loss: 2.7356 | Val  Acc: 0.8796
 Site-webcam                        | Val  Loss: 2.8798 | Val  Acc: 0.7500
 Site-webcam                        | Val  Loss: 2.8187 | Val  Acc: 0.8750
 Site-webcam                        | Val  Loss: 2.8029 | Val  Acc: 0.9189
 Site-webcam                        | Val  Loss: 2.8245 | Val  Acc: 0.8545
 Site-webcam                        | Val  Loss: 2.8047 | Val  Acc: 0.8659
 Site-dslr                          | Val  Loss: 2.8026 | Val  Acc: 0.8182
 Site-dslr                          | Val  Loss: 2.7964 | Val  Acc: 0.8788
 Site-synthetic                     | Val  Loss: 3.1346 | Val  Acc: 0.3043
Average Valid Accuracy: 0.8265
 Best site-amazon                    | Epoch:6 | Val Acc: 0.9474
 Best site-amazon                    | Epoch:6 | Val Acc: 0.8333
 Best site-amazon                    | Epoch:6 | Val Acc: 0.8065
