===2023-08-03 21:55:51===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[20,26,34,44,57,73,95,123,159,205,18,32,57,101,180,13,131,67,
client_nums=[10,5,2,1,]
len_dataset=[1403,649,243,112,]
domain number = 4
============ Train epoch 0 ============
 Site-webcam                        | Train Loss: 0.5996 | Train Acc: 0.8507
Average Train Accuracy: 0.8169
 Site-amazon                        | Val  Loss: 0.2675 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 0.4052 | Val  Acc: 0.9412
 Site-amazon                        | Val  Loss: 0.5049 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 0.5228 | Val  Acc: 0.9655
 Site-amazon                        | Val  Loss: 0.6432 | Val  Acc: 0.9474
 Site-amazon                        | Val  Loss: 0.7286 | Val  Acc: 0.8571
 Site-amazon                        | Val  Loss: 0.5731 | Val  Acc: 0.9365
 Site-amazon                        | Val  Loss: 0.4688 | Val  Acc: 0.9390
 Site-amazon                        | Val  Loss: 0.6101 | Val  Acc: 0.9623
 Site-amazon                        | Val  Loss: 0.7198 | Val  Acc: 0.9051
 Site-synthetic                     | Val  Loss: 2.3571 | Val  Acc: 0.4167
 Site-synthetic                     | Val  Loss: 2.1172 | Val  Acc: 0.4286
 Site-synthetic                     | Val  Loss: 1.6681 | Val  Acc: 0.6486
 Site-synthetic                     | Val  Loss: 1.7576 | Val  Acc: 0.5522
 Site-synthetic                     | Val  Loss: 1.7175 | Val  Acc: 0.6417
 Site-dslr                          | Val  Loss: 0.6856 | Val  Acc: 1.0000
 Site-dslr                          | Val  Loss: 0.8983 | Val  Acc: 0.9091
 Site-webcam                        | Val  Loss: 1.0743 | Val  Acc: 0.8182
Average Valid Accuracy: 0.8261
 Best site-amazon                    | Epoch:5 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9412
 Best site-amazon                    | Epoch:5 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9655
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9474
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8571
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9365
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9390
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9623
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9051
 Best site-synthetic                 | Epoch:5 | Val Acc: 0.4167
 Best site-synthetic                 | Epoch:5 | Val Acc: 0.4286
 Best site-synthetic                 | Epoch:5 | Val Acc: 0.6486
 Best site-synthetic                 | Epoch:5 | Val Acc: 0.5522
 Best site-synthetic                 | Epoch:5 | Val Acc: 0.6417
 Best site-dslr                      | Epoch:5 | Val Acc: 1.0000
 Best site-dslr                      | Epoch:5 | Val Acc: 0.9091
 Best site-webcam                    | Epoch:5 | Val Acc: 0.8182
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/harmo-fl...
============ Train epoch 6 ============
 Site-amazon                        | Train Loss: 0.3461 | Train Acc: 0.9500
 Site-amazon                        | Train Loss: 0.4255 | Train Acc: 1.0000
 Site-amazon                        | Train Loss: 0.6391 | Train Acc: 0.9118
 Site-amazon                        | Train Loss: 0.5395 | Train Acc: 0.9545
