===2023-08-17 02:56:10===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:12===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 04:17:47===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.4149 | Train Acc: 0.7333
 Site-art_painting                  | Train Loss: 1.2826 | Train Acc: 0.8421
 Site-art_painting                  | Train Loss: 1.4973 | Train Acc: 0.5800
 Site-art_painting                  | Train Loss: 1.3085 | Train Acc: 0.8281
 Site-art_painting                  | Train Loss: 1.4265 | Train Acc: 0.7470
 Site-art_painting                  | Train Loss: 1.4004 | Train Acc: 0.7944
 Site-art_painting                  | Train Loss: 1.4017 | Train Acc: 0.7554
 Site-art_painting                  | Train Loss: 1.3660 | Train Acc: 0.8111
 Site-photo                         | Train Loss: 1.1402 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.2183 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.1821 | Train Acc: 0.9592
 Site-photo                         | Train Loss: 1.2407 | Train Acc: 0.9432
 Site-photo                         | Train Loss: 1.1508 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.7725 | Train Acc: 0.1429
 Site-sketch                        | Train Loss: 1.7294 | Train Acc: 0.4507
 Site-cartoon                       | Train Loss: 1.6870 | Train Acc: 0.5417
Average Train Accuracy: 0.7505
============ Train epoch 9 ============
 Site-art_painting                  | Train Loss: 1.3281 | Train Acc: 0.7778
 Site-art_painting                  | Train Loss: 1.4891 | Train Acc: 0.5217
 Site-art_painting                  | Train Loss: 1.4123 | Train Acc: 0.7000
 Site-art_painting                  | Train Loss: 1.2278 | Train Acc: 0.9474
 Site-art_painting                  | Train Loss: 1.4917 | Train Acc: 0.6800
 Site-art_painting                  | Train Loss: 1.2476 | Train Acc: 0.8750
 Site-art_painting                  | Train Loss: 1.3479 | Train Acc: 0.7831
 Site-art_painting                  | Train Loss: 1.3665 | Train Acc: 0.8318
 Site-art_painting                  | Train Loss: 1.3295 | Train Acc: 0.7770
 Site-art_painting                  | Train Loss: 1.3068 | Train Acc: 0.8333
 Site-photo                         | Train Loss: 1.0734 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.1652 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.1371 | Train Acc: 0.9592
 Site-photo                         | Train Loss: 1.1510 | Train Acc: 0.9886
 Site-photo                         | Train Loss: 1.0928 | Train Acc: 0.9873
 Site-sketch                        | Train Loss: 1.6929 | Train Acc: 0.4286
 Site-sketch                        | Train Loss: 1.7246 | Train Acc: 0.4296
 Site-cartoon                       | Train Loss: 1.5967 | Train Acc: 0.5139
Average Train Accuracy: 0.7797
 Best site-art_painting              | Epoch:9 | Val Acc: 0.7778
 Best site-art_painting              | Epoch:9 | Val Acc: 0.5217
 Best site-art_painting              | Epoch:9 | Val Acc: 0.7000
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9474
 Best site-art_painting              | Epoch:9 | Val Acc: 0.6800
 Best site-art_painting              | Epoch:9 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:9 | Val Acc: 0.7831
 Best site-art_painting              | Epoch:9 | Val Acc: 0.8318
 Best site-art_painting              | Epoch:9 | Val Acc: 0.7770
