===2023-08-17 02:56:18===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 05:52:08===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 0.3179 | Train Acc: 0.9137
 Site-art_painting                  | Train Loss: 0.2853 | Train Acc: 0.9333
 Site-photo                         | Train Loss: 0.0176 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0604 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0743 | Train Acc: 0.9592
 Site-photo                         | Train Loss: 0.1160 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0267 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.0943 | Train Acc: 0.6429
 Site-sketch                        | Train Loss: 1.0682 | Train Acc: 0.5986
 Site-cartoon                       | Train Loss: 1.0337 | Train Acc: 0.6389
Average Train Accuracy: 0.8664
============ Train epoch 9 ============
 Site-art_painting                  | Train Loss: 0.4052 | Train Acc: 0.9444
 Site-art_painting                  | Train Loss: 0.5984 | Train Acc: 0.8261
 Site-art_painting                  | Train Loss: 0.4766 | Train Acc: 0.9000
 Site-art_painting                  | Train Loss: 0.2213 | Train Acc: 0.9737
 Site-art_painting                  | Train Loss: 0.4189 | Train Acc: 0.9200
 Site-art_painting                  | Train Loss: 0.2490 | Train Acc: 0.9375
 Site-art_painting                  | Train Loss: 0.3209 | Train Acc: 0.9398
 Site-art_painting                  | Train Loss: 0.2969 | Train Acc: 0.9439
 Site-art_painting                  | Train Loss: 0.2749 | Train Acc: 0.9281
 Site-art_painting                  | Train Loss: 0.2431 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.0177 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0397 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0909 | Train Acc: 0.9592
 Site-photo                         | Train Loss: 0.0786 | Train Acc: 0.9773
 Site-photo                         | Train Loss: 0.0214 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 0.9164 | Train Acc: 0.6429
 Site-sketch                        | Train Loss: 1.0800 | Train Acc: 0.6056
 Site-cartoon                       | Train Loss: 0.9508 | Train Acc: 0.6250
Average Train Accuracy: 0.8930
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9444
 Best site-art_painting              | Epoch:9 | Val Acc: 0.8261
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9000
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9737
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9200
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9375
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9398
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9439
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9281
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9500
 Best site-photo                     | Epoch:9 | Val Acc: 1.0000
 Best site-photo                     | Epoch:9 | Val Acc: 1.0000
 Best site-photo                     | Epoch:9 | Val Acc: 0.9592
 Best site-photo                     | Epoch:9 | Val Acc: 0.9773
 Best site-photo                     | Epoch:9 | Val Acc: 1.0000
 Best site-sketch                    | Epoch:9 | Val Acc: 0.6429
 Best site-sketch                    | Epoch:9 | Val Acc: 0.6056
 Best site-cartoon                   | Epoch:9 | Val Acc: 0.6250
